id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
18_20_tips,4.0,0.1176470588235294,0.0390710707199999,0.0112460252954797,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
15_200_tips,38.0,0.0964467005076142,7.4522416993,1.971556837496499,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_20_tips,2.0,0.0588235294117647,0.1046025162,0.0434815662286089,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
17_20_tips,10.0,0.2941176470588235,0.2266355429,0.1265953921620868,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_200_tips,92.0,0.233502538071066,0.5418712343700008,0.0588443649536068,200,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_10_tips,4.0,0.2857142857142857,0.5842852347000002,0.2749617283570669,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
19_100_tips,16.0,0.0824742268041237,0.4567857381999999,0.0811564008633827,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_10_tips,0.0,0.0,0.4307554844,0.2153061497774897,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_10_tips,2.0,0.1428571428571428,0.8478526284,0.4383387215129068,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
16_100_tips,14.0,0.0721649484536082,2.9522753492,0.6878062164511567,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
18_10_tips,2.0,0.1428571428571428,3.9173241043,2.0030722963159526,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
10_50_tips,4.0,0.0425531914893617,1.8534050187,0.5156212610418994,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
14_100_tips,12.0,0.0618556701030927,4.424067694400001,1.0282797436243427,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
8_20_tips,2.0,0.0588235294117647,2.3233063551000006,0.7892915791954074,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_100_tips,14.0,0.0721649484536082,4.948765217799998,1.6375433475803467,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
11_100_tips,14.0,0.0721649484536082,1.6784345476999991,0.3136545386507142,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
4_20_tips,0.0,0.0,0.4584262591,0.19956206949739,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
12_100_tips,124.0,0.6391752577319587,0.08544365882,0.0131552484772424,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
5_50_tips,34.0,0.3617021276595745,0.1221782455999999,0.0259102476621125,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
2_100_tips,40.0,0.2061855670103092,0.3361642894599994,0.0507171621886128,100,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
7_20_tips,4.0,0.1176470588235294,0.9319181630000002,0.3400457441520368,20,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
3_50_tips,8.0,0.0851063829787234,0.5121766693999998,0.1313072139364352,50,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
0_10_tips,2.0,0.1428571428571428,0.4803832662999999,0.2258431356210955,10,,IQ-TREE,,,20,True,20,TreeSize_SequenceLength,LG,1.0,500,birth-death,20,2026-09-19T16:12:43.930112
